,Week_Of,Mon,Tue,Wed,Thu,Fri
243,2000 Nov-27 to Dec- 1,6.24,5.90,5.93,6.31,6.53
244,2000 Dec- 4 to Dec- 8,7.41,8.03,8.75,8.48,8.13
245,,,,,,
246,2000 Dec-11 to Dec-15,9.96,8.58,7.80,7.48,8.03
247,2000 Dec-18 to Dec-22,9.28,9.11,9.95,10.49,10.48
248,2000 Dec-25 to Dec-29,,10.23,9.58,9.22,10.48
249,2001 Jan- 1 to Jan- 5,,9.97,9.71,9.45,10.03
250,2001 Jan- 8 to Jan-12,10.31,9.95,9.91,8.95,8.75
251,,,,,,
252,2001 Jan-15 to Jan-19,,8.16,7.85,7.09,7.61
253,2001 Jan-22 to Jan-26,7.70,7.02,6.81,6.81,7.00
254,2001 Jan-29 to Feb- 2,6.76,5.96,5.83,5.82,6.76
255,2001 Feb- 5 to Feb- 9,6.15,5.59,5.67,6.24,6.24
256,2001 Feb-12 to Feb-16,5.74,5.58,5.89,5.35,5.57
257,,,,,,
258,2001 Feb-19 to Feb-23,,5.17,5.20,5.11,5.05
259,2001 Feb-26 to Mar- 2,5.07,5.07,5.25,5.25,5.06
260,2001 Mar- 5 to Mar- 9,5.32,5.27,5.22,5.25,5.13
261,2001 Mar-12 to Mar-16,4.98,5.08,4.99,5.27,5.27
262,2001 Mar-19 to Mar-23,5.27,5.27,5.16,5.16,5.16
263,,,,,,
264,2001 Mar-26 to Mar-30,5.23,5.47,5.60,5.31,5.35
265,2001 Apr- 2 to Apr- 6,5.25,5.25,5.24,5.27,5.33
266,2001 Apr- 9 to Apr-13,5.45,5.55,5.45,5.32,
267,2001 Apr-16 to Apr-20,5.48,5.36,5.15,5.06,5.00
268,2001 Apr-23 to Apr-27,5.09,5.13,4.98,4.92,4.83
269,,,,,,
270,2001 Apr-30 to May- 4,4.73,4.55,4.54,4.46,4.50
271,2001 May- 7 to May-11,4.33,4.22,4.15,4.17,4.25
272,2001 May-14 to May-18,4.28,4.46,4.46,4.20,4.15
273,2001 May-21 to May-25,4.14,4.04,4.11,4.12,3.83
274,2001 May-28 to Jun- 1,,3.86,3.66,3.73,3.70
275,,,,,,
276,2001 Jun- 4 to Jun- 8,3.98,3.93,3.76,3.68,3.62
277,2001 Jun-11 to Jun-15,3.91,4.05,4.13,3.92,3.86
278,2001 Jun-18 to Jun-22,3.91,3.96,3.83,3.69,3.68
279,2001 Jun-25 to Jun-29,3.56,3.46,3.39,3.20,2.91
280,2001 Jul- 2 to Jul- 6,2.92,3.00,,3.09,2.99
281,,,,,,
282,2001 Jul- 9 to Jul-13,3.10,3.20,3.21,3.29,3.15
283,2001 Jul-16 to Jul-20,3.08,3.14,3.15,3.01,2.97
284,2001 Jul-23 to Jul-27,3.02,3.00,3.06,3.26,3.06
